Type_of_Coarse_Aggregate,Type_of_Fine_Aggregate,Max_Size_of_Coarse_Aggregate(mm),Passing_0.6_mm_sieve(%),Target_Mean_Strength(MPa),Cement_O.P.C.(kg/m3),W/C_Ratio,Water_Content(kg/m3),Total_Aggregate(kg/m3),Fine_Aggregate(kg/m3),Coarse_Aggregate(kg/m3),Workability_Slump(mm),Hardened_Concrete_Density_(avg.),7_day_str(MPa),28_day_str(MPa),Admix_1,Admix_2,Dos_1(lit),Dos_2(lit),,
Crushed,Natural,40,0,43,365,0.52,225,1870,710,1160,160,2407,21.8,26.3,NA,NA,0,0,, 
Crushed,Natural,40,0,40.8,365,0.52,225,1870,710,1160,160,2403,26.3,35.3,NA,NA,0,0,,
Crushed,Natural,20,45.6,38,350,0.53,185,1915,725,1190,120,2475,32.7,44.9,SP,NA,1,0,,
Natural,Natural,20,57.9,38,340,0.49,165,1895,835,1060,190,2412,30.3,41,SP,NA,0.9,0,,
Natural,Natural,20,19.5,38,325,0.51,165,1910,840,1070,170,2404,27,0,SP,NA,1,0,,
Natural,Natural,20,19.5,38,325,0.51,165,1910,840,1070,170,2405,27,35.4,SP,NA,1,0,,
Crushed,Natural,20,39.4,38,340,0.56,190,1895,795,1100,105,2425,31.8,0,SI,NA,0.8,0,,
Crushed,Natural,20,39.4,38,340,0.56,190,1895,795,1100,105,2427,31.8,41.3,SI,NA,0.8,0,,
Crushed,Natural,20,33.4,38,370,0.5,185,1895,795,1100,125,2449,37.8,46.4,CO,NA,0.8,0,,
Crushed,Natural,20,26.1,38,360,0.53,190,1900,780,1120,100,2454,28.2,34.1,NA,NA,0,0,,
Crushed,Natural,20,43.5,38,330,0.5,205,1980,850,1130,135,2483,33.2,0,SP,NA,0.9,0,,
Crushed,Natural,20,43.5,38,330,0.5,165,1980,850,1130,135,2477,33.2,43.1,SP,NA,0.9,0,,
Crushed,Natural,20,24.9,38,350,0.54,190,1900,760,1140,140,2445,31,0,RH,NA,4.2,0,,
Crushed,Natural,20,24.9,38,350,0.54,190,1900,760,1140,140,2449,31,39.3,RH,NA,4.2,0,,
Crushed,Natural,20,42.1,38,345,0.55,190,1905,760,1145,145,2443,33.9,0,RH,NA,1.25,0,,
Crushed,Natural,20,47,38,340,0.53,180,1930,770,1160,120,2449,36.5,0,DO,NA,1,0,,
Crushed,Natural,20,47,38,340,0.53,180,1930,770,1160,120,2449,36.5,34.8,DO,NA,1,0,,
Crushed,Natural,20,49,38,350,0.54,190,1890,715,1175,140,2434,30.9,0,PL,NA,0.8,0,,
Natural,Natural,20,39,38,350,0.51,180,1970,690,1280,110,2406,30.4,37.2,NA,NA,0,0,,
Natural,Natural,20,39,38,350,0.51,180,1870,690,1180,110,2402,30.4,0,NA,NA,0,0,,
Crushed,Natural,20,52.5,38,350,0.57,200,1910,710,1200,125,2453,19,37.6,CO,NA,0.8,0,,
Crushed,Natural,20,45.6,38,350,0.53,185,1915,725,1190,120,2456,32.8,0,NA,NA,0,0,,
Crushed,Natural,20,43,38,350,0.5,180,1910,710,1200,90,2447,33.1,0,NA,NA,0,0,,
Crushed,Natural,20,43,38,350,0.5,180,1910,710,1200,90,2447,33.1,42.6,SP,NA,1,0,,
Crushed,Natural,20,49.5,38,380,0.5,190,1845,610,1235,180,2424,29.1,0,SP,NA,0.9,0,,
Crushed,Natural,20,49.5,38,380,0.5,290,1845,610,1235,180,2424,29.1,41.5,SP,NA,0.9,0,,
Crushed,Natural,20,49.5,38,380,0.5,190,1854,610,1244,180,2423,29.1,41.5,SP,NA,0.9,0,,
Crushed,Natural,20,0,38,350,0.54,190,1885,755,1130,80,2430,25.8,0,NA,NA,0,0,,
Crushed,Natural,20,0,38,350,0.54,190,1885,755,1130,80,2431,25.8,0,NA,NA,0,0,,
Crushed,Natural,20,40,38,400,0.45,180,1840,770,1070,200,2445,36.3,0,R2,NA,1.65,0,,
Crushed,Natural,20,40,38,400,0.45,180,1840,770,1070,200,2450,36.3,46.6,R2,NA,1.65,0,,
Crushed,Natural,20,40,38,400,0.45,180,1840,770,1070,200,2445,36.3,46.6,R2,NA,1.65,0,,
Crushed,Natural,20,76,38,350,0.53,185,1915,595,1320,120,2453,28.5,37.6,SI,NA,1,0,,
Crushed,Natural,20,26.1,38,360,0.53,190,1900,780,1120,100,2453,28.2,0,NA,NA,0,0,,
